#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
150,Bailey Falter,PIT,15,38,102.2,5,7,4,0,0,108,53,17,80,28,7.05,2.41,2.92,1.49,0.266,1.32,0.295,69.40%,4.68,4.75,730.2,2.97,-2.4,0.55
151,Javier Assad,CHC,14,38,102.1,5,5,4,0,3,102,49,13,86,39,7.53,3.47,2.17,1.17,0.255,1.38,0.295,71.90%,4.29,4.56,511.8,2.66,1.1,0.53
152,Jake Irvin,WSN,23,23,121.2,5,7,7,0,0,122,66,19,97,47,7.21,3.52,2.05,1.42,0.257,1.39,0.287,68.70%,4.87,5.06,999,2.43,0.9,1.17
153,Josiah Gray,WSN,28,28,159.2,8,11,9,0,0,153,87,29,147,72,8.26,4.08,2.03,1.63,0.249,1.41,0.282,70.70%,4.91,5.29,395.5,5.3,-0.03,2.24
154,Zack Greinke,,18,18,98.2,4,6,5,0,0,108,51,16,67,21,6.09,1.9,3.21,1.44,0.275,1.31,0.297,68.50%,4.68,4.7,748.3,2.45,0.24,0.47
155,Jacob deGrom,TEX,5,5,25.2,2,1,2,0,0,19,9,3,35,5,12.18,1.82,6.7,1.03,0.204,0.94,0.29,74.30%,2.99,2.71,420.8,3.4,0.55,1.33
156,Casey Mize,DET,18,18,98,5,6,6,0,0,98,49,14,76,29,6.95,2.64,2.64,1.29,0.257,1.29,0.288,68.70%,4.49,4.62,446.9,2.7,0.61,0.31
157,Jhony Brito,SDP,13,38,95.1,6,6,3,0,1,93,44,13,77,29,7.22,2.73,2.65,1.23,0.251,1.28,0.285,71.40%,4.16,4.47,542.8,3.62,-0.56,0.25
158,Alex Wood,OAK,20,25,115.2,6,8,6,0,0,115,58,15,95,39,7.41,3.07,2.41,1.19,0.255,1.33,0.293,68.80%,4.49,4.57,556.9,3.6,-0.99,0.64
159,Michael Lorenzen,,19,22,108.2,6,7,6,0,0,108,56,16,86,39,7.09,3.24,2.19,1.3,0.255,1.35,0.286,68.80%,4.64,4.74,544.2,4.59,-0.29,0.77
160,Patrick Corbin,WSN,28,28,158.1,8,13,10,0,0,180,92,28,115,52,6.51,2.98,2.18,1.57,0.282,1.47,0.307,68.60%,5.2,5.16,706.4,4.85,-0.1,2.68
161,Daniel Lynch IV,KCR,16,23,90,5,6,5,0,0,95,49,14,72,32,7.23,3.19,2.26,1.39,0.267,1.41,0.301,68.70%,4.89,4.83,718.9,2.02,-1.38,0.72
