#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
281,Jose Barrero,CIN,25,92,84,18,4,0,2,10,10,6,31,2,2,1,6.10%,34.00%,0.131,0.3,0.209,0.271,0.34,0.611,0.269,61,999,4.34,2.45,1.7
282,Trey Mancini,,43,167,150,36,8,0,4,18,19,14,43,2,0,0,8.20%,26.00%,0.135,0.31,0.242,0.311,0.377,0.688,0.302,87,744.9,6.72,0.4,1.43
283,Dylan Crews,WSN,45,183,165,38,8,0,4,19,17,13,48,3,4,2,7.00%,26.20%,0.116,0.297,0.228,0.294,0.344,0.637,0.282,74,999,3.43,-1.48,1.44
284,Nate Eaton,KCR,23,55,51,11,2,0,1,6,5,3,16,1,3,0,6.10%,28.30%,0.102,0.286,0.213,0.267,0.315,0.582,0.257,58,999,2.82,-0.26,1.93
285,Dane Myers,MIA,21,72,66,17,2,0,1,9,8,5,18,1,1,0,6.70%,25.00%,0.095,0.331,0.255,0.311,0.35,0.661,0.292,81,999,4.55,0.11,1.86
286,Stone Garrett,WSN,87,323,294,70,15,1,12,38,41,21,97,3,6,2,6.70%,30.00%,0.182,0.305,0.237,0.292,0.419,0.711,0.305,89,495,2.86,-0.72,0.74
287,Derek Hill,TEX,13,42,39,9,2,0,1,5,3,3,11,0,1,0,6.00%,26.30%,0.121,0.3,0.232,0.281,0.352,0.634,0.277,71,999,2.09,-0.76,1.99
288,Bligh Madris,DET,18,49,44,9,2,0,1,5,4,4,13,0,1,0,9.10%,25.80%,0.104,0.261,0.199,0.276,0.303,0.579,0.26,61,999,2.36,-0.63,1.9
289,Jackie Bradley Jr.,,34,117,106,22,5,0,2,12,10,8,29,2,1,0,6.60%,24.90%,0.107,0.264,0.206,0.268,0.313,0.581,0.258,59,999,1.94,-0.43,1.6
290,Heliot Ramos,SFG,17,59,54,13,3,0,1,7,6,4,17,0,1,0,7.00%,28.50%,0.126,0.314,0.234,0.291,0.36,0.651,0.285,78,750.7,3.98,-0.37,1.88
291,Kole Calhoun,,44,173,157,35,7,1,5,18,20,13,43,2,1,0,7.30%,25.10%,0.145,0.271,0.221,0.285,0.366,0.651,0.284,77,999,2.51,-0.75,1.3
292,Oscar Colás,CHW,48,184,171,41,8,0,5,21,19,10,49,1,2,1,5.60%,26.40%,0.137,0.301,0.238,0.284,0.375,0.659,0.285,78,593.8,5.9,0.27,1.37
293,Corey Dickerson,,47,171,160,41,8,1,3,18,18,9,32,1,1,1,5.30%,18.60%,0.124,0.297,0.254,0.297,0.378,0.675,0.293,83,999,1.47,-0.72,1.53
294,Corey Julks,HOU,30,113,103,24,5,0,3,13,12,9,27,1,4,1,7.60%,24.20%,0.125,0.298,0.237,0.298,0.362,0.66,0.29,83,745.5,3.86,-0.14,1.72
295,Cal Mitchell,SDP,37,130,119,28,6,0,3,13,14,9,34,1,1,1,6.90%,26.30%,0.123,0.302,0.234,0.293,0.357,0.65,0.285,78,749.1,4.24,0.3,1.61
296,David Peralta,CHC,67,257,236,61,14,1,5,27,30,17,50,2,2,1,6.60%,19.40%,0.139,0.303,0.258,0.309,0.396,0.706,0.304,91,999,7.07,-0.12,1.21
297,Bradley Zimmer,COL,22,70,62,12,2,0,1,8,5,6,26,2,3,1,8.00%,36.80%,0.101,0.308,0.196,0.283,0.297,0.58,0.263,46,750.9,3.32,2.81,1.84
298,Avisaíl García,MIA,81,316,289,69,11,1,10,33,37,20,89,5,4,1,6.40%,28.20%,0.15,0.308,0.239,0.297,0.388,0.686,0.297,84,672.2,3.44,0.12,0.87
299,Jordyn Adams,LAA,33,93,85,18,3,0,2,10,7,6,31,1,3,0,6.50%,33.20%,0.105,0.305,0.212,0.267,0.316,0.584,0.257,58,999,1.5,1.24,1.78
300,Cristian Pache,PHI,52,168,151,33,7,1,3,18,16,13,46,1,3,1,7.90%,27.20%,0.125,0.288,0.218,0.284,0.343,0.627,0.277,70,749.2,3.71,-0.65,1.42
301,Everson Pereira,NYY,17,67,62,13,3,0,2,8,8,5,23,0,2,0,7.00%,33.70%,0.131,0.31,0.214,0.274,0.345,0.62,0.272,69,741.9,3.75,0.48,1.8
302,Michael Toglia,COL,31,119,108,23,5,1,4,13,13,10,36,1,1,0,8.30%,30.40%,0.163,0.288,0.218,0.287,0.381,0.668,0.291,65,742.7,3.6,1.54,1.55
303,Hunter Goodman,COL,78,315,287,71,17,2,12,38,46,21,85,3,2,1,6.50%,27.00%,0.199,0.305,0.248,0.302,0.447,0.749,0.319,84,435.7,5.25,-0.14,0.71
304,Juan Yepez,WSN,27,96,89,21,4,0,3,10,12,6,23,1,0,0,6.20%,23.80%,0.161,0.278,0.235,0.286,0.396,0.682,0.295,83,714.1,4.91,1.52,1.7
