#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
89,Andrew Kittredge,STL,0,49,51.1,4,3,0,3,9,50,21,6,43,12,7.64,2.04,3.74,1.1,0.25,1.2,0.292,72.30%,3.77,3.97,666.6,2.86,0.82,0.84
90,Sixto Sánchez,MIA,0,32,39.2,2,2,0,0,2,38,17,4,39,12,8.79,2.66,3.31,0.87,0.247,1.25,0.308,71.30%,3.77,3.58,731.8,2.6,-0.49,0.91
91,Jake Bird,COL,0,59,65,3,3,0,1,12,68,33,7,57,24,7.86,3.39,2.32,0.95,0.266,1.43,0.318,68.20%,4.6,4.22,999,3.49,-1.74,0.39
92,Tyler Rogers,SFG,0,64,67.1,3,4,0,2,18,69,30,7,50,18,6.71,2.43,2.76,0.87,0.26,1.29,0.299,70.30%,3.95,3.99,717.9,2.43,-0.14,0.62
93,Trevor Stephan,CLE,0,60,64,4,4,0,2,18,57,28,8,71,24,9.95,3.39,2.93,1.07,0.236,1.27,0.302,72.00%,3.95,3.9,738.8,1.18,-0.84,0.43
94,Seranthony Domínguez,PHI,0,60,58.2,5,4,0,6,14,53,26,7,62,25,9.46,3.84,2.47,1.1,0.237,1.33,0.296,73.20%,3.98,4.2,668.5,1.83,-1.09,0.57
95,Andrew Chafin,DET,0,59,56,3,3,0,3,13,50,25,6,62,24,9.92,3.83,2.59,0.98,0.234,1.31,0.302,72.10%,3.94,3.85,742.3,2.52,-1.56,0.64
96,Drew Smyly,CHC,5,44,70.1,5,5,2,0,5,69,35,12,70,24,8.94,3.04,2.94,1.52,0.252,1.32,0.298,72.50%,4.41,4.59,623.5,2.76,-1.14,0.17
97,Danny Coulombe,BAL,0,56,54.1,4,3,0,2,15,51,23,7,58,18,9.56,3.04,3.14,1.12,0.243,1.27,0.305,74.70%,3.74,3.87,745.2,1.2,-0.37,0.66
98,Sam Moll,CIN,0,55,53,2,2,0,1,10,47,24,6,58,25,9.81,4.28,2.29,1.02,0.235,1.37,0.3,72.90%,4.02,4.19,999,2.17,-1.85,0.62
99,José Leclerc,TEX,0,59,60,2,3,0,20,7,50,26,8,68,28,10.24,4.27,2.4,1.18,0.224,1.31,0.285,74.20%,3.93,4.27,186.2,2.15,0.42,1.45
