#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
148,Spencer Steer,CIN,136,508,575,130,79,29,2,20,71,74,54,0,124,9,3,0,9,2,0.256
149,DJ LeMahieu,NYY,119,448,509,114,83,19,2,11,61,47,53,1,94,3,3,1,3,1,0.253
150,Masataka Yoshida,BOS,135,516,573,150,102,30,2,16,71,73,46,2,75,7,4,1,6,1,0.29
151,Orlando Arcia,ATL,128,460,507,115,78,21,0,17,61,61,39,0,98,3,4,1,2,1,0.251
152,Geraldo Perdomo,ARI,119,386,453,93,68,17,3,6,56,38,51,2,85,6,3,7,13,3,0.24
153,Noelvi Marte,CIN,120,439,486,117,78,24,2,13,60,55,39,1,101,4,3,1,16,4,0.266
154,Jake Rogers,DET,97,325,361,70,39,13,2,16,43,46,29,0,116,3,2,3,2,1,0.217
155,Brendan Donovan,STL,113,406,467,112,80,20,1,10,61,47,46,2,71,11,2,2,6,2,0.275
156,Austin Hays,BAL,134,508,554,130,83,28,2,17,67,66,36,0,124,6,4,1,4,2,0.256
157,Jonathan India,CIN,123,457,527,116,74,24,1,17,71,61,51,1,112,15,4,1,11,3,0.254
158,Trent Grisham,NYY,94,314,365,70,40,15,1,13,47,41,42,1,99,4,2,3,9,2,0.222
159,Mitch Garver,SEA,103,363,419,86,51,15,0,20,51,56,48,1,107,5,3,0,1,0,0.236
160,Jake Cronenworth,SDP,141,517,588,127,80,28,5,15,70,66,53,2,105,12,5,1,5,1,0.246
161,Masyn Winn,STL,121,440,486,107,74,20,3,10,58,48,35,0,96,3,5,4,13,3,0.244
162,Matt Wallner,MIN,117,394,458,91,51,21,2,18,57,58,50,2,151,12,2,0,3,1,0.232
163,Brendan Rodgers,COL,122,467,510,129,85,27,2,14,62,60,34,0,99,6,3,0,0,0,0.276
164,Marcell Ozuna,ATL,130,489,544,125,72,22,1,30,72,83,48,1,125,3,3,1,1,1,0.255
165,Alex Verdugo,NYY,125,482,531,128,86,27,2,13,66,57,40,1,82,4,4,0,4,2,0.267
166,Austin Wells,NYY,89,312,350,72,43,16,1,13,40,45,30,1,85,4,3,1,4,1,0.232
167,Harrison Bader,NYM,107,379,414,93,62,17,2,11,51,45,25,1,80,6,3,1,21,4,0.244
168,Lourdes Gurriel Jr.,ARI,130,498,540,138,89,30,2,16,64,70,33,1,95,5,4,1,4,2,0.277
169,Ryan Mountcastle,BAL,125,472,521,124,79,22,1,22,64,71,40,2,125,4,6,0,3,1,0.263
170,Ezequiel Tovar,COL,145,571,611,150,98,33,4,16,78,70,30,0,149,5,3,2,13,4,0.263
171,Pete Crow-Armstrong,CHC,109,324,362,81,52,15,3,9,49,40,26,1,103,5,2,6,18,4,0.248
172,Jarren Duran,BOS,129,475,522,124,77,30,5,13,71,54,37,1,132,6,3,1,28,5,0.262
173,Nolan Schanuel,LAA,115,408,479,109,79,19,2,9,63,44,61,1,77,7,2,1,3,1,0.266
174,Henry Davis,PIT,109,388,447,94,60,19,2,14,52,50,45,3,107,10,3,1,8,4,0.243
175,Jose Siri,TBR,118,423,457,94,53,18,3,20,61,57,26,0,157,4,3,1,16,4,0.222
176,Esteury Ruiz,OAK,125,451,500,112,78,24,2,8,59,41,30,0,104,12,2,5,55,9,0.248
177,Yan Gomes,CHC,98,340,368,86,59,16,1,10,38,45,18,1,71,6,4,1,1,0,0.252
178,Ryan Noda,OAK,125,430,513,94,55,20,1,18,62,54,69,1,170,9,3,1,5,2,0.218
179,Ty France,SEA,144,540,603,140,97,28,1,15,70,65,40,1,103,19,4,1,1,0,0.26
180,Luis Urías,SEA,89,299,346,67,43,13,1,10,38,36,36,0,80,8,2,0,2,1,0.225
181,Kevin Kiermaier,TOR,107,363,399,89,60,18,4,7,49,38,29,1,92,4,3,1,12,2,0.244
182,Mark Canha,DET,127,438,510,112,76,23,2,12,59,55,52,0,88,15,4,1,7,2,0.256
183,Parker Meadows,DET,123,457,510,105,67,21,5,13,61,49,43,1,124,4,4,2,15,3,0.23
184,Jordan Walker,STL,131,485,540,130,85,25,2,18,65,64,43,1,123,7,3,1,10,3,0.268
185,Chris Taylor,LAD,109,374,425,87,52,19,2,14,54,52,43,1,135,5,2,1,12,3,0.231
186,Luis Campusano,SDP,113,406,443,106,73,19,1,13,50,55,28,1,77,5,3,1,1,0,0.261
187,Eloy Jiménez,CHW,125,477,521,130,84,23,0,22,60,72,37,1,106,3,4,0,0,0,0.273
188,Ramón Laureano,CLE,108,404,453,94,57,21,2,14,55,49,35,0,122,11,2,0,13,3,0.232
189,Jackson Chourio,MIL,126,475,513,120,79,24,2,15,61,62,30,1,111,3,4,1,20,5,0.253
190,Lane Thomas,WSN,141,547,602,137,83,30,3,21,78,69,43,0,151,6,5,1,15,4,0.25
191,Amed Rosario,TBR,97,394,420,108,78,18,4,7,53,45,20,0,75,3,3,1,11,3,0.273
192,Wyatt Langford,TEX,104,381,432,98,60,21,2,16,54,53,42,1,93,5,3,2,11,3,0.258
193,Jon Berti,MIA,103,350,391,91,67,16,2,6,48,32,34,1,79,4,2,1,21,5,0.26
194,Dylan Carlson,STL,94,326,372,81,52,19,2,9,44,40,36,1,73,6,3,0,4,1,0.25
195,Bryan De La Cruz,MIA,138,518,562,138,88,28,1,20,63,69,37,1,128,3,4,0,4,1,0.266
196,Michael Massey,KCR,111,407,445,101,64,22,1,14,49,54,26,1,96,6,4,2,6,2,0.248
197,Brandon Drury,LAA,127,484,526,122,71,25,2,23,65,74,31,0,130,6,4,0,1,1,0.251
198,Kerry Carpenter,DET,129,485,534,125,76,23,2,23,66,73,38,3,131,8,3,0,5,2,0.258
199,Mike Yastrzemski,SFG,118,411,473,94,52,24,2,17,59,55,51,2,120,5,3,1,4,1,0.229
200,Christian Encarnacion-Strand,CIN,109,408,447,109,64,21,1,23,58,69,30,1,119,6,2,0,3,1,0.266
201,LaMonte Wade Jr.,SFG,117,403,475,98,63,17,2,16,58,51,59,2,92,7,3,3,3,1,0.242
202,Brayan Rocchio,CLE,100,369,408,91,63,20,2,6,48,41,30,0,78,4,3,1,11,3,0.247
203,Justin Turner,TOR,120,454,511,117,77,24,0,15,61,67,43,0,91,8,5,0,3,1,0.258
204,Brent Rooker,OAK,128,458,518,105,58,21,1,25,60,66,48,1,170,9,3,0,4,1,0.228
205,René Pinto,TBR,105,341,363,78,46,17,1,14,36,44,16,0,119,3,1,1,1,0,0.228
206,Andrew Vaughn,CHW,143,544,597,142,90,29,1,22,69,76,40,1,117,9,4,1,0,0,0.261
207,Travis d'Arnaud,ATL,81,294,321,72,45,15,1,11,39,42,21,0,73,4,1,0,0,0,0.247
208,Jordan Lawlar,ARI,84,284,318,69,46,13,2,7,41,32,26,1,80,5,2,1,13,3,0.243
209,MJ Melendez,KCR,131,485,554,117,67,26,4,20,70,63,61,1,144,3,4,1,5,2,0.242
210,Joc Pederson,ARI,111,376,434,95,57,17,3,18,57,60,47,3,95,7,3,0,1,1,0.253
211,Junior Caminero,TBR,75,290,316,77,52,12,1,12,38,43,21,1,65,3,2,1,3,1,0.265
