#,Name,Team,W,L,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
734,Lucas Luetge,BOS,1,1,4.5,14,0,0,1,15.1,67,16,8,8,2,5,0,1,14
735,Randy Rodríguez,SFG,1,1,4.73,22,0,0,1,23.2,107,21,14,12,2,15,0,2,25
736,Ryan Loutos,STL,1,1,4.46,31,0,0,2,31.2,138,32,17,16,4,13,0,1,26
737,José Castillo,ARI,0,0,4.68,7,0,0,1,6.1,29,6,4,3,1,3,0,1,7
738,Sam Long,KCR,1,0,4.96,8,0,0,1,12.1,55,13,7,7,1,5,0,0,9
739,Dugan Darnell,COL,0,1,5.24,8,0,0,1,7.2,34,8,5,5,1,3,0,0,7
740,Dennis Santana,NYY,1,1,4.64,21,0,0,4,22.1,98,21,13,12,3,11,0,1,22
741,Austin Cox,KCR,0,1,4.64,14,0,0,2,15,66,15,8,8,2,6,0,1,12
742,Sam Bachman,LAA,2,2,4.71,25,1,0,2,31.1,141,31,18,16,4,17,1,2,27
743,Shane Drohan,CHW,2,2,4.62,26,1,0,2,28,122,27,16,14,4,13,1,1,26
744,Devin Sweet,,0,0,4.63,11,0,0,1,11.2,50,12,6,6,2,4,0,1,10
745,Jake Cousins,CHW,1,1,4.2,16,0,0,1,16.2,73,15,8,8,2,9,0,1,18
746,Matt Bush,,1,1,4.42,23,0,0,2,23.2,100,21,13,12,4,9,0,1,25
747,Grant Holmes,ATL,0,0,4.77,7,0,0,1,7,31,7,4,4,1,3,0,0,7
748,Spenser Watkins,WSN,1,2,5.79,7,2,0,0,20.2,94,25,15,13,3,8,0,1,14
749,Michael Mercado,PHI,0,0,4.78,6,0,0,0,7.1,32,7,4,4,1,3,0,0,7
750,Nicholas Padilla,CHW,1,2,4.6,14,0,0,1,16.1,75,17,9,8,2,10,0,1,16
751,Chris Rodriguez,ARI,0,1,4.46,13,0,0,1,13.1,60,13,7,7,2,7,0,1,12
752,Danny Duffy,,1,1,4.61,16,1,0,1,20.1,89,19,11,10,3,11,0,1,20
753,Dan Altavilla,KCR,1,1,4.81,14,0,0,1,14.1,64,14,8,8,2,7,0,1,14
754,Erich Uelmen,PHI,0,0,5.56,6,0,0,0,7,32,8,5,4,1,4,0,1,6
755,Zach McCambley,MIA,0,1,4.75,6,0,0,1,6.2,29,7,4,3,1,3,0,0,6
756,Yosver Zulueta,TOR,1,1,4.39,21,0,0,1,21.2,97,20,12,11,3,12,0,2,22
757,Max Castillo,PHI,0,1,4.83,15,0,0,1,19,82,20,11,10,3,6,0,1,15
758,Denyi Reyes,NYM,1,1,5.01,18,2,0,3,28.2,125,32,17,16,5,9,0,1,22
759,Geoff Hartlieb,COL,1,1,5.29,13,0,0,2,14.2,66,16,9,9,2,7,0,1,12
760,Kyle Nicolas,PIT,1,1,4.7,25,0,0,3,27.2,122,26,16,14,4,14,0,2,29
761,Vladimir Gutierrez,MIA,1,1,5.63,11,3,0,0,21.1,96,23,14,13,4,10,1,2,16
762,Jordan Balazovic,,0,0,4.53,14,0,0,2,16,71,16,9,8,2,8,0,1,15
763,Carl Edwards Jr.,,2,1,4.23,24,0,1,5,25.1,110,24,13,12,3,11,1,1,22
764,Josh Winder,MIN,2,2,4.57,24,1,0,1,31.2,138,33,17,16,4,12,0,1,27
765,Jacob Webb,BAL,3,3,4.3,51,0,0,10,53,230,48,28,25,7,25,2,3,53
766,Drew Pomeranz,,1,1,4.64,14,0,0,1,13.2,60,13,8,7,2,7,0,1,14
767,Dylan Covey,PHI,2,2,4.46,32,0,0,2,40.1,178,42,22,20,5,17,1,2,30
768,Kevin Kopps,SDP,0,0,4.54,10,0,0,1,10.1,46,10,6,5,1,5,0,1,9
769,Amir Garrett,SFG,1,2,4.42,43,0,0,5,42.1,188,37,23,21,5,25,1,2,48
770,Yohan Ramírez,NYM,1,1,4.36,23,0,0,1,25.1,112,23,13,12,3,13,1,3,25
771,Logan Gillaspie,SDP,1,1,4.47,14,0,0,2,13.2,59,14,7,7,2,4,0,1,12
772,Matt Foster,CHW,0,0,4.7,13,0,0,2,13.1,57,13,8,7,2,5,0,0,13
773,Erik Sabrowski,CLE,1,1,4.48,9,0,0,1,9.1,41,8,5,5,1,5,0,0,9
774,Ricky Vanasco,,1,1,4.49,17,0,0,1,17.2,77,17,10,9,2,8,0,1,17
775,Tayler Scott,HOU,0,0,4.52,11,0,0,1,11,48,11,6,6,2,5,0,1,11
776,Colten Brewer,CHC,0,0,4.81,5,0,0,1,6,27,6,4,3,1,3,0,0,5
777,Duane Underwood Jr.,NYY,1,1,4.85,18,0,0,3,20.1,88,21,12,11,3,8,0,1,16
778,Christian Roa,CIN,1,1,4.85,12,0,0,1,13.2,61,13,8,7,2,8,0,1,15
779,Gus Varland,LAD,2,2,4.94,23,0,0,1,26.2,117,27,16,15,4,12,1,1,26
780,Casey Legumina,CIN,1,1,5.02,25,0,0,1,27.2,123,30,17,15,5,12,0,1,26
781,Chih-Jung Liu,BOS,0,0,4.93,6,0,0,1,6.1,28,6,4,3,1,3,0,0,6
782,Madison Bumgarner,,2,5,5.57,10,10,0,0,52.1,232,59,35,32,10,19,0,3,35
783,Drew Hutchison,,1,1,4.96,4,2,0,0,14.1,64,15,9,8,2,6,0,1,9
784,Clayton Andrews,NYY,1,1,4.64,16,0,0,2,16.1,71,15,9,8,2,8,0,1,18
