#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
67,Garrett Hampson,KCR,63,219,196,48,9,1,3,26,18,17,54,2,7,1,7.90%,24.80%,0.107,0.321,0.245,0.31,0.351,0.661,0.292,82,683.2,3.62,2.39,1.48
68,Adalberto Mondesi,,54,225,210,47,9,2,6,30,22,11,70,1,17,3,5.10%,31.20%,0.149,0.302,0.223,0.266,0.371,0.637,0.275,71,612.9,2.3,-0.79,1.56
69,Kevin Smith,NYY,29,87,80,16,3,0,2,10,9,5,28,0,2,0,5.30%,31.60%,0.137,0.273,0.203,0.25,0.34,0.59,0.256,58,999,3.63,-0.2,1.7
70,Brooks Lee,MIN,32,127,116,28,7,0,3,14,13,9,24,1,1,0,7.20%,19.20%,0.131,0.288,0.245,0.303,0.376,0.679,0.296,88,999,1.68,-0.88,1.65
71,Aledmys Díaz,OAK,78,295,271,65,15,0,6,27,29,16,54,5,1,0,5.40%,18.30%,0.126,0.274,0.238,0.29,0.364,0.654,0.285,83,736.7,2.65,-0.63,1.01
72,Rodolfo Castro,PHI,28,100,91,20,4,0,4,11,11,8,29,1,1,0,7.90%,28.70%,0.174,0.274,0.219,0.286,0.393,0.679,0.294,82,999,4.48,-0.15,1.65
73,Orelvis Martinez,TOR,36,147,132,29,6,0,6,16,19,12,40,1,0,0,8.10%,27.20%,0.181,0.259,0.216,0.285,0.397,0.682,0.294,86,999,4.15,0.8,1.37
74,Braden Shewmake,CHW,45,142,132,29,6,1,3,15,14,8,32,1,3,1,5.60%,22.50%,0.135,0.265,0.222,0.271,0.357,0.628,0.273,69,745.4,2.83,-0.39,1.55
75,Addison Barger,TOR,15,59,53,12,3,0,2,6,6,5,16,1,0,0,7.90%,26.50%,0.143,0.298,0.232,0.301,0.375,0.676,0.296,88,999,2.76,-0.44,1.87
76,Pablo Reyes,BOS,36,123,112,28,6,0,2,15,12,10,22,0,3,1,8.10%,18.10%,0.112,0.296,0.252,0.314,0.364,0.678,0.298,82,745.4,3.99,1.69,1.73
77,Nick Ahmed,SFG,45,162,150,34,8,1,3,17,15,10,39,1,3,1,6.30%,23.80%,0.119,0.288,0.229,0.281,0.347,0.628,0.275,71,750.8,1.98,-0.32,1.5
78,Yu Chang,,30,87,79,17,4,0,3,10,10,5,25,1,1,0,6.10%,28.90%,0.17,0.276,0.219,0.275,0.389,0.664,0.287,79,999,0.91,-1.66,1.71
79,Jackson Merrill,SDP,51,209,194,49,10,1,4,23,22,12,33,1,4,1,5.70%,15.90%,0.126,0.283,0.252,0.297,0.378,0.676,0.294,83,999,4.84,-0.34,1.41
80,Osleivis Basabe,TBR,15,55,51,13,3,0,0,6,5,3,10,0,1,0,5.80%,18.90%,0.096,0.313,0.257,0.304,0.353,0.657,0.289,80,999,4.07,0.2,1.97
81,Matt Shaw,CHC,12,47,44,11,2,0,1,6,5,2,9,1,2,0,4.30%,19.80%,0.146,0.302,0.26,0.303,0.406,0.709,0.307,92,999,2.28,-0.2,1.99
82,Tucupita Marcano,SDP,36,131,119,29,6,1,2,14,12,9,24,1,3,1,7.10%,18.30%,0.11,0.284,0.24,0.298,0.35,0.648,0.285,78,999,4.45,0.94,1.68
83,Luisangel Acuña,,13,39,36,9,2,0,1,5,3,3,9,0,2,0,6.60%,22.30%,0.125,0.297,0.243,0.297,0.368,0.665,0.291,82,999,0.85,1.36,2.02
84,Jeter Downs,NYY,34,58,51,10,2,0,1,7,5,6,16,1,5,0,10.90%,27.90%,0.132,0.266,0.204,0.298,0.336,0.634,0.283,76,999,0.74,-1.12,1.95
85,Eddys Leonard,DET,8,32,30,7,2,0,1,4,4,2,8,0,0,0,6.40%,23.30%,0.149,0.299,0.244,0.302,0.392,0.694,0.303,91,999,0.63,1.45,2
86,Otto Lopez,SFG,30,118,109,28,5,1,0,13,10,7,21,1,3,1,6.20%,18.10%,0.076,0.316,0.258,0.311,0.334,0.645,0.286,78,999,1.8,-0.33,1.81
